id,out_type_1,out_type_2,out_type_3,out_type_4,out_type_5,out_type_6,out_type_7,out_type_8,out_type_9,out_type_10,out_type_11,out_type_12,out_type_13,out_type_14,out_type_15,out_type_16
38111324,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111325,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38111424,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269765,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111471,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111425,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111637,"['Toolkit primary outcome', 'Reading primary outcome']",['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111536,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111426,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717230,['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111556,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111328,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111427,['Reading primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111428,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111473,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111329,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111430,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111679,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111600,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111474,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111475,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307487,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111431,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111432,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111680,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111538,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111333,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111601,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111334,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111478,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111602,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111434,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111338,NA,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090120,['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38111603,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111562,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111670,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111564,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025488,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269788,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111604,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269790,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111644,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111435,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111643,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294900,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111539,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111484,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111436,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111345,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111346,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111347,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111491,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111288,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111287,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111492,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111608,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111355,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296614,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Reading primary outcome'],['Writing and spelling primary outcome.'],['Mathematics primary outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38111575,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111437,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111610,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Reading primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296621,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111647,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111494,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111495,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111363,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111439,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111577,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269817,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111440,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296628,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Mathematics primary outcome'],['Science primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111441,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111649,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111681,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111442,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294915,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111673,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111615,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38111543,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111578,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111371,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398942,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111650,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269824,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111444,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111617,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111499,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111674,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111380,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111445,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111652,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111651,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111381,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111382,['Reading primary outcome'],['Reading primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111508,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111683,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269837,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269838,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111684,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296641,['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269840,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111446,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111447,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111387,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294925,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111448,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111389,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111653,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111675,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294932,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111676,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111549,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
38111291,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111677,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111512,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111449,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111390,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269857,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111450,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111314,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111403,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111685,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111452,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Reading primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111518,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111657,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111589,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111590,['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111618,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294950,['Toolkit primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111591,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111594,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111519,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111520,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296675,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome']
38111672,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111621,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111620,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296685,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38296686,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671586,"['Toolkit primary outcome', 'Reading primary outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111625,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111458,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296687,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307449,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111552,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111527,['Reading primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111686,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111661,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111662,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111668,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111460,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111597,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
