id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,time_org,addit_time_struct
71101036,Alper (1979) 1_1,1979,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.7525,0.1603,['Post-test unadjusted (select one from this group)'],ExtH+0_MRT (Letter recognition),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.7525,0.1603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,9,['Primary/elementary school'],['5'],NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],"['During regular school hours ', 'Before/after school']",['Class teachers'],38,5,150,NA,['Additional hours each day (but less than half a day extra each day)'],['Different activities']
74577986,Alper (1979) 1_2,1979,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Other outcome']",0.2555,0.3277,['Post-test unadjusted (select one from this group)'],ExtH+0_MRT (Letter recognition),With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['Before/after school'],['Class teachers'],38,5,150,['Toolkit: Extending school time'],['Additional hours each day (but less than half a day extra each day)'],['Different activities']
71101075,Baldus (2001),2001,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.1399,0.3249,['Post-test unadjusted (select one from this group)'],ExtH+1_CTBS - Reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1399,0.3249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101037,Basketta (2005),2005,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3736,0.1477,['Post-test unadjusted (select one from this group)'],ExtH+0_Reading Level,With business as usual,NA,Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3736,0.1477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,NA,['Nursery school/pre-school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],39,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101038,Bower (1985),1985,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Other outcome']",-0.1893,0.2647,['Post-test unadjusted (select one from this group)'],ExtH+0_MRT ,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2,NA,['Nursery school/pre-school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Research staff'],36,5,330,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101076,Bowman (1992),1992,['Dissertation or thesis'],['Early years intervention'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1182,0.1463,['Post-test unadjusted (select one from this group)'],ExtH+1_BSAP(Reading),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1182,0.1463,NA,NA,NA,['Mathematics primary outcome'],0.4563,0.1481,NA,NA,NA,NA,NA,NA,188,NA,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['4', '5', '6', '7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],190,Not specified,NA,NA,"['From no time to half-day attendance at nursery/ kindergarten (5 days per week)', 'From half-day to full day nursery/ kindergarten (5 days per week)']",['Not specified/ unclear']
71101102,Coco-Burden (1982),1982,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1585,0.1345,['Post-test unadjusted (select one from this group)'],ExtH+0_Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1585,0.1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,5,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],39,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101040,da Costa (2000),2000,['Conference paper'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.7425,0.4066,['Post-test adjusted for baseline attainment'],ExtH+0_Clays,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.7425,0.4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,2,['Nursery school/pre-school'],"['4', '5']",TRUE,53.0,['Canada'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Early years intervention'],['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101041,da Costa (2001),2001,['Conference paper'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.4548,0.2225,['Post-test adjusted for baseline attainment'],ExtH+0_Clay,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4548,0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,3,4,['Nursery school/pre-school'],"['4', '5']",TRUE,53.0,['Canada'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Extending school time'],['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
40117246,DeCicca (2007),2007,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.195,0.052,['Post-test adjusted for baseline attainment AND clustering'],ExtH+0_Combined - Reading ES (overall),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.195,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8164,714,NA,['Nursery school/pre-school'],"['5', '6']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,180,['Toolkit: Extending school time'],NA,NA
71101043,Donofrio (1989),1989,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-1.0001,0.2353,['Post-test unadjusted (select one from this group)'],ExtH+0_PPVT,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-1.0001,0.2353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,['Primary/elementary school'],['5'],NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],32,Not specified,Not specified,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Different activities']
71101077,Duffy (1996),1996,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Other outcome']",-0.3359,0.0843,['Post-test unadjusted (select one from this group)'],ExtH+0_ITBS,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,NA,NA,['Nursery school/pre-school'],"['4', '5', '6', '7', '8', '9']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Extending school time'],['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101046,Elicker (1997),1997,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.6137,0.158,['Post-test unadjusted (select one from this group)'],ExtH+0_Literacy score,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6137,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,135,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101078,Entwisle (1987),1987,['Journal article'],NA,['Toolkit primary outcome'],0.135,0.06,['Post-test unadjusted (select one from this group)'],ExtH+0_CAT Verbal (Fall),With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Class teachers'],38,5,165 82.5,['Toolkit: Early years intervention'],['From half-day to full day nursery/ kindergarten (5 days per week)'],['Not specified/ unclear']
71101047,Fields (1989),1989,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",1.0036,0.2071,['Pre-post gain'],ExtH+0_MRT Reading Comprehension,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0036,0.2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],12 months,daily,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101105,Gullo (1986),1986,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1066,0.14,['Post-test unadjusted (select one from this group)'],ExtH+0_MRT Total Readiness Score (all day vs half day),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1066,0.14,NA,NA,NA,['Mathematics primary outcome'],0.2347,0.1406,NA,NA,NA,NA,NA,NA,216,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101079,Gullo (2000),2000,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.273,0.074,['Post-test unadjusted (select one from this group)'],ExtH+2_ITBS (Reading),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.273,0.074,NA,NA,NA,['Mathematics primary outcome'],0.2055,0.074,NA,NA,NA,NA,NA,NA,974,NA,NA,['Primary/elementary school'],"['5', '6']",TRUE,58.0,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101049,Hall-Kenyon (2009),2009,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",1.5001,0.2354,['Pre-post gain'],ExtH+0_PPVT-III (gain scores),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.5001,0.2354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,2,8,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101053,Hatcher (1979),1978,['Dissertation or thesis'],NA,"['Toolkit primary outcome', 'Other outcome']",0.1121,0.1908,['Post-test unadjusted (select one from this group)'],ExtH+0_MRT,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Nursery school/pre-school'],['5'],NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Not specified/ unclear']
40117175,Hausner (2000),2000,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1394,0.1196,['Post-test adjusted for baseline attainment'],ExtH+2_Letter Identification ,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1394,0.1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,6,NA,['Primary/elementary school'],"['5', '6']",TRUE,50.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],['Class teachers'],30,5,120,['Toolkit: Extending school time'],NA,NA
71101054,Hildebrand (1997),1997,['Technical report'],NA,"['Toolkit primary outcome', 'Other outcome']",0.2738,0.1776,['Post-test adjusted for baseline attainment'],ExtH+0_TERA-2 (post test adjusted means and unadjusted SDs),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,3,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],19,5,NA,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101055,Hough (1996),1996,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.27,0.089,['Post-test unadjusted (select one from this group)'],ExtH+0_ESA Achievement Test,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.27,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,"Not indicated, 5 could be implied for the full day kindergarten program",full day,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101056,Humphrey (1980),1980,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3392,0.132,['Post-test unadjusted (select one from this group)'],ExtH+1_Gates Macginities Scores ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3392,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",27,5,380,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
71101080,Humphrey (1988),1988,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3036,0.1333,['Post-test unadjusted (select one from this group)'],ExtH+1_Gates Macginitie ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3036,0.1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",27,5,380,NA,['From half-day to full day nursery/ kindergarten (5 days per week)'],['Same activities']
