n_treat_ht,n_treat_info,Intervention_Group_Pre-test_Mean_HT,Intervention_Group_Pre-test_Mean_comments,Intervention_Group_Pre-test_SD_HT,Intervention_Group_Pre-test_SD_comments,Intervention_Group_Post-test_Mean_HT,Intervention_Group_Post-test_Mean_comments,Intervention_Group_Post-test_SD_HT,Intervention_Group_Post-test_SD_comments,Intervention_Group_Gain_Score_Mean_HT,Intervention_Group_Gain_Score_Mean_comments,Intervention_Group_Gain_Score_SD_HT,Intervention_Group_Gain_Score_SD_comments,Intervention_Group_Other_Info_HT,Intervention_Group_Other_Info_comments
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""50 children[¬e]""']",NA,"['Page 9:\n[¬s]""36.70[¬e]""']",36.70,"['Page 9:\n[¬s]""12.66[¬e]""']",12.66,"['Page 9:\n[¬s]""82.12[¬e]""']",82.12,"['Page 9:\n[¬s]""22.01[¬e]""']",22.01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,64.8,NA,12.0,NA,75.5,NA,13.8,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,"['Page 17:\n[¬s]""30.43""\n""31.76""\n""30.22[¬e]""']",30.783,"['Page 17:\n[¬s]""7.19""\n""6.56""\n""6.51[¬e]""']",6.689,"['Page 17:\n[¬s]""35.13**""\n""35.76""\n""35.20**[¬e]""']",35.354,"['Page 17:\n[¬s]""6.75""\n""6.75""\n""7.43[¬e]""']",6.881,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,"['Page 29:\n[¬s]""20.15""\n""2).42""\n""18.35""\n""51.42""\n""51.5""\n""49.36[¬e]""']",38.288,"['Page 29:\n[¬s]""9.2""\n""8.87""\n""9.95""\n""20-5""\n""29.07""\n""20.7[¬e]""']",23.838,"['Page 31:\n[¬s]""47.66""\n""37.78""\n""34""\n""51.42""\n""65.61""\n""57.73[¬e]""']",50.330,"['Page 31:\n[¬s]""16.33""\n""19.40""\n""19.8""\n""19.45""\n""21.90""\n""17.76[¬e]""']",21.729,NA,NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""72 participants[¬e]""']",36,NA,NA,NA,NA,"['Page 10:\n[¬s]""43.30[¬e]""']",43.30,"['Page 10:\n[¬s]""12.23[¬e]""']",12.23,NA,NA,NA,NA,NA,NA
NA,79,"['Page 8:\n[¬s]""70.03[¬e]""']",70.03,"['Page 8:\n[¬s]""21.10[¬e]""']",21.10,"['Page 8:\n[¬s]""76.44[¬e]""']",76.44,"['Page 8:\n[¬s]""19.65[¬e]""']",19.65,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""27[¬e]""']",27,"['Page 3:\n[¬s]""X= 25.00[¬e]""']",25.00,"['Page 3:\n[¬s]""SD = 24.02[¬e]""']",24.02,"['Page 3:\n[¬s]""A""= 42.59[¬e]""']",42.59,"['Page 3:\n[¬s]""SD = 34.5[¬e]""']",34.54,NA,NA,NA,NA,NA,NA
NA,156,"['Page 59:\n[¬s]""TABLE I TREATMENT GROUP MEANS ON THE PRETEST ""OVERALL QUALITY,"" POSTTEST ESSAY, AND ADJUSTED POSTTEST ""OVERALL QUALITY""[¬e]""']",6.31,NA,NA,"['Page 59:\n[¬s]""TREATMENT GROUP MEANS ON THE PRETEST ""OVERALL QUALITY,"" POSTTEST ESSAY, AND ADJUSTED POSTTEST ""OVERALL QUALITY""[¬e]""']",6.88,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 44:\n[¬s]""Treatment""\n""II""\n""22""\n""25""\n""19""\n""25""\n""21""\n""25""\n""17[¬e]""']",137,"['Page 59:\n[¬s]""6.49[¬e]""']",6.49,NA,NA,"['Page 59:\n[¬s]""6.92[¬e]""']",6.92,NA,NA,NA,NA,NA,NA,NA,NA
NA,24,NA,NA,NA,NA,"['Page 5:\n[¬s]""105.0[¬e]""']",105.0,"['Page 5:\n[¬s]""10.45[¬e]""']",10.45,NA,NA,NA,NA,NA,NA
NA,24,NA,NA,NA,NA,"['Page 4:\n[¬s]""7.75""\n""8.08[¬e]""']",7.915,"['Page 4:\n[¬s]""2.99""\n""1.93[¬e]""']",2.462,NA,NA,NA,NA,NA,NA
"['Page 62:\n[¬s]""Experimental""\n""(n = 16)[¬e]""']",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 53:\n[¬s]""23[¬e]""']",23,"['Page 54:\n[¬s]""3""\n""3""\n""6""\n""9""\n""6""\n""5""\n""6""\n""7""\n""8""\n""5""\n""7""\n""10""\n""9""\n""6""\n""10""\n""11""\n""23""\n""21""\n""13""\n""17""\n""11""\n""20""\n""28[¬e]""']",10.609,NA,NA,"['Page 54:\n[¬s]""21""\n""20""\n""16""\n""36""\n""31""\n""37""\n""39""\n""30""\n""41""\n""35""\n""38""\n""59""\n""41""\n""40""\n""24""\n""53""\n""43""\n""53""\n""44""\n""50""\n""52""\n""56""\n""56[¬e]""']",39.783,NA,NA,NA,NA,NA,NA,"['Page 58:\n[¬s]"" In interquartile""\n"" ranqe (posttreat)""\n""[yes]""\n""[yes]""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n"" no""\n""yes""\n""yes""\n""yes""\n""yes""\n""yas""\n""yes[¬e]""']",Number of children in the range of scores between the 25%ile and 75%ile of non-SEND children
"['Page 5:\n[¬s]""Written feedback. Students of GE1 fn = 23),[¬e]""']",23,"['Page 6:\n[¬s]""39.4[¬e]""']",39.4,"['Page 6:\n[¬s]""36.7[¬e]""']",36.7,"['Page 6:\n[¬s]""41.5[¬e]""']",41.5,"['Page 6:\n[¬s]""37.9[¬e]""']",37.9,NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""Students of GE2 (n = 30)[¬e]""']",30,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,"['Page 6:\n[¬s]""37.1[¬e]""']",37.1,"['Page 6:\n[¬s]""53.0[¬e]""']",53.0,"['Page 6:\n[¬s]""40.3[¬e]""']",40.3,NA,NA,NA,NA,NA,NA
"['Page 6:\n[¬s]""23[¬e]""']",23,NA,NA,NA,NA,"['Page 7:\n[¬s]""117.26[¬e]""']",117.26,"['Page 7:\n[¬s]""21.74[¬e]""']",21.74,NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",7,NA,NA,NA,NA,"['Page 5:\n[¬s]""14""\n""12.3 7.0 56 49 10.5 2A 4.0 5A 5.4 69 6.8 6.1 5.1 5.9[¬e]""']",6.3071,NA,2.4046,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""77[¬e]""']",77,NA,NA,NA,NA,"['Page 4:\n[¬s]""22.62 ""\n""18.46 ""\n""16.08""\n""23.08""\n""22.25""\n""18.00[¬e]""']",19.988,"['Page 4:\n[¬s]""4.29""\n""3.26""\n""4.97""\n""3.85 ""\n""3.17""\n""5.33[¬e]""']",4.918,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""Failure""\n""77[¬e]""']",77,NA,NA,NA,NA,"['Page 4:\n[¬s]""21.69""\n""19.38""\n""12.33""\n""21.55""\n""20.14""\n""15.21[¬e]""']",18.361,"['Page 4:\n[¬s]""5.41""\n""4.44""\n""6.38""\n""3.24""\n""3.66""\n""4.21[¬e]""']",5.660,NA,NA,NA,NA,NA,NA
"['Page 12:\n[¬s]""31[¬e]""']",31,"['Page 12:\n[¬s]""9.94[¬e]""']",9.94,"['Page 12:\n[¬s]""94 (12.75)[¬e]""']",12.75,"['Page 12:\n[¬s]""47.94[¬e]""']",47.94,"['Page 12:\n[¬s]""(13.67)[¬e]""']",13.67,NA,NA,NA,NA,NA,NA
"['Page 140:\n[¬s]""IS[¬e]""']",18,"['Page 140:\n[¬s]""34.78[¬e]""']",34.78,"['Page 140:\n[¬s]""15.79[¬e]""']",15.79,"['Page 148:\n[¬s]""48.89[¬e]""']",48.89,"['Page 148:\n[¬s]""13.94[¬e]""']",13.94,NA,NA,NA,NA,NA,NA
"['Page 2:\n[¬s]""88""\n""90[¬e]""']",178,"['Page 3:\n[¬s]""38.68[¬e]""']",38.68,"['Page 3:\n[¬s]""14.86[¬e]""']",14.86,"['Page 3:\n[¬s]""55.49[¬e]""']",55.49,"['Page 3:\n[¬s]""19.26[¬e]""']",19.26,NA,NA,NA,NA,NA,NA
"['Page 2:\n[¬s]""90[¬e]""']",90,"['Page 3:\n[¬s]""39.84[¬e]""']",39.84,"['Page 3:\n[¬s]""24.43[¬e]""']",24.43,"['Page 3:\n[¬s]""52.59[¬e]""']",52.59,"['Page 3:\n[¬s]""25.32[¬e]""']",25.32,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,216,NA,NA,NA,NA,"['Page 7:\n[¬s]""20.52""\n""25.12""\n""27.16""\n""29.06""\n""23.32""\n""24.26""\n""28.41""\n""29.31""\n""29.54""\n""29.20""\n""31.52""\n""31.90[¬e]""']","27.443
","['Page 7:\n[¬s]""6.18""\n""3.71""\n""3.98""\n""3.82""\n""4.30""\n""3.83""\n""3.89""\n""3.27""\n""5.92""\n""3.28""\n""3.33""\n""2.93[¬e]""']","5.231
",NA,NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""19[¬e]""']",19,"['Page 8:\n[¬s]""6.00[¬e]""']",6.0,"['Page 8:\n[¬s]""2.43[¬e]""']",2.43,"['Page 8:\n[¬s]""10.68[¬e]""']",10.68,"['Page 8:\n[¬s]""1.92[¬e]""']",1.92,NA,NA,NA,NA,NA,NA
NA,60,NA,NA,NA,NA,NA,"4.590
",NA,"1.898
",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2230,"['Page 61:\n[¬s]"" 3.600[¬e]""']",3.6,NA,NA,"['Page 61:\n[¬s]""3.927[¬e]""']",3.927,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 14:\n[¬s]""182[¬e]""']",182,"['Page 14:\n[¬s]""409.77[¬e]""']",409.77,"['Page 14:\n[¬s]""17.72[¬e]""']",17.72,"['Page 15:\n[¬s]""455.78[¬e]""']",455.78,"['Page 15:\n[¬s]""14.06[¬e]""']",14.06,NA,NA,NA,NA,NA,NA
NA,48,NA,NA,NA,NA,"['Page 8:\n[¬s]""verbal reward\n(M = 4.67), symbolic and self-reward (both\nMs = 4.58), and tangible reward groups\n(M = 4.33).[¬e]""']","4.540
",NA,NA,NA,NA,NA,NA,NA,NA
NA,96,NA,50.2,NA,8.17,NA,111.6,NA,15.56,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""22[¬e]""']",22,NA,NA,NA,NA,"['Page 4:\n[¬s]""21.63[¬e]""']",21.636,"['Page 4:\n[¬s]""8.409[¬e]""']",8.409,NA,NA,NA,NA,NA,NA
"['Page 145:\n[¬s]""24[¬e]""']",24,NA,NA,NA,NA,"['Page 145:\n[¬s]""20. 17[¬e]""']",20.17,"['Page 145:\n[¬s]""9.15[¬e]""']",9.15,NA,NA,NA,NA,NA,NA
NA,assumed 168 as not specified in text,NA,7.92,NA,3.03,NA,"mean of 3 schools 13.6, 13.6, 14.9 = 14.09",NA,"mean of 3 schools 3.01,3.01,2.69 = 2.9",NA,NA,NA,NA,NA,NA
"['Page 89:\n[¬s]""20[¬e]""']",20,NA,NA,NA,NA,"['Page 89:\n[¬s]""28.85[¬e]""']",28.85,"['Page 89:\n[¬s]""5.79[¬e]""']",5.79,NA,NA,NA,NA,NA,NA
"['Page 71:\n[¬s]""49[¬e]""']",49,"['Page 71:\n[¬s]""300.7[¬e]""']",300.7,"['Page 71:\n[¬s]""18.1[¬e]""']",NA,"['Page 71:\n[¬s]""304.6[¬e]""']",NA,"['Page 71:\n[¬s]""13.3[¬e]""']",NA,NA,NA,NA,NA,NA,NA
"['Page 14:\n[¬s]""12[¬e]""']",12,NA,NA,NA,NA,"['Page 14:\n[¬s]""63.8[¬e]""']",63.8,"['Page 14:\n[¬s]""el[¬e]""']",19.3,NA,NA,NA,NA,NA,NA
"['Page 14:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA,"['Page 14:\n[¬s]"".3 I[¬e]""']",59.3,"['Page 14:\n[¬s]""el[¬e]""']",23.7,NA,NA,NA,NA,NA,NA
"['Page 14:\n[¬s]""11[¬e]""']",11,NA,NA,NA,NA,"['Page 14:\n[¬s]""48.7[¬e]""']",48.7,"['Page 14:\n[¬s]""20.3[¬e]""']",20,NA,NA,NA,NA,NA,NA
NA,60,NA,NA,NA,NA,"['Page 4:\n[¬s]""8.83\n7.60[¬e]""']",8.83 + 7.6 / 2 = 6.65,NA,3.1 + 3.94 /2 = 3.52,NA,NA,NA,NA,NA,NA
NA,30,"['Page 13:\n[¬s]""384.63[¬e]""']",384.63,"['Page 13:\n[¬s]""21.91[¬e]""']",21.91,"['Page 13:\n[¬s]""411.10[¬e]""']",411.1,"['Page 13:\n[¬s]""28.26[¬e]""']",28.26,"['Page 13:\n[¬s]""26.47[¬e]""']",26.47,"['Page 13:\n[¬s]""15.09[¬e]""']",15.09,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 7:\n[¬s]""54[¬e]""']",54,"['Page 7:\n[¬s]"".40[¬e]""']",0.40,"['Page 7:\n[¬s]"".26[¬e]""']",0.26,"['Page 7:\n[¬s]"".54[¬e]""']",0.54,"['Page 7:\n[¬s]"".26[¬e]""']",0.26,"['Page 7:\n[¬s]"".14[¬e]""']",0.14,"['Page 7:\n[¬s]""25[¬e]""']",0.25,NA,NA
"['Page 7:\n[¬s]""61[¬e]""']",61,"['Page 7:\n[¬s]"".41[¬e]""']",0.41,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".49[¬e]""']",0.49,"['Page 7:\n[¬s]"".27[¬e]""']",0.27,"['Page 7:\n[¬s]"".08[¬e]""']",0.08,"['Page 7:\n[¬s]"".14[¬e]""']",0.14,NA,NA
"['Page 7:\n[¬s]""56[¬e]""']",56,"['Page 7:\n[¬s]"".31[¬e]""']",0.31,"['Page 7:\n[¬s]"".17[¬e]""']",0.17,"['Page 7:\n[¬s]"".41[¬e]""']",0.41,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".10[¬e]""']",0.10,"['Page 7:\n[¬s]"".17[¬e]""']",0.17,NA,NA
"['Page 7:\n[¬s]""19""\n""iList-3[¬e]""']",19,"['Page 7:\n[¬s]"".53[¬e]""']",0.53,"['Page 7:\n[¬s]"".29[¬e]""']",0.29,"['Page 7:\n[¬s]"".65[¬e]""']",0.65,"['Page 7:\n[¬s]"".26[¬e]""']",0.26,"['Page 7:\n[¬s]"".12[¬e]""']",0.12,"['Page 7:\n[¬s]"".24[¬e]""']",0.24,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""51 boys, 13 girls[¬e]""']",64,"['Page 6:\n[¬s]""41.58[¬e]""']",41.58,"['Page 6:\n[¬s]"" 33.72[¬e]""']",33.72,"['Page 6:\n[¬s]""70.23[¬e]""']",70.23,"['Page 6:\n[¬s]""45.75[¬e]""']",45.75,NA,NA,NA,NA,NA,NA
NA,49,NA,NA,NA,NA,NA,62.19,NA,4.97,NA,NA,NA,NA,NA,NA
NA,4,NA,55.50,NA,21.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
